calculationType,side1A,side1B,side1C,side2A,side2B,side2C,missingSide,result,proportion,scaleFactor,similarityStatus
find-missing-side,3,4,5,6,8,0,C,10,"6/3 = 10/5",2,"Triangles are similar (scale factor consistent)"
find-missing-side,5,12,13,10,24,0,C,26,"10/5 = 26/13",2,"Triangles are similar (scale factor consistent)"
find-missing-side,6,8,10,9,12,0,C,15,"9/6 = 15/10",1.5,"Triangles are similar (scale factor consistent)"
find-missing-side,7,24,25,14,48,0,C,50,"14/7 = 50/25",2,"Triangles are similar (scale factor consistent)"
find-missing-side,8,15,17,16,30,0,C,34,"16/8 = 34/17",2,"Triangles are similar (scale factor consistent)"
find-missing-side,9,12,15,18,24,0,C,30,"18/9 = 30/15",2,"Triangles are similar (scale factor consistent)"
find-missing-side,5,12,13,15,36,0,C,39,"15/5 = 39/13",3,"Triangles are similar (scale factor consistent)"
find-missing-side,3,4,5,12,16,0,C,20,"12/3 = 20/5",4,"Triangles are similar (scale factor consistent)"
find-scale-factor,3,4,5,6,8,10,0,2,"6/3 = 2\n8/4 = 2\n10/5 = 2",2,"Triangles are similar"
find-scale-factor,5,12,13,10,24,26,0,2,"10/5 = 2\n24/12 = 2\n26/13 = 2",2,"Triangles are similar"
find-scale-factor,6,8,10,9,12,15,0,1.5,"9/6 = 1.5\n12/8 = 1.5\n15/10 = 1.5",1.5,"Triangles are similar"
find-scale-factor,7,24,25,14,48,50,0,2,"14/7 = 2\n48/24 = 2\n50/25 = 2",2,"Triangles are similar"
find-scale-factor,8,15,17,16,30,34,0,2,"16/8 = 2\n30/15 = 2\n34/17 = 2",2,"Triangles are similar"
find-scale-factor,9,12,15,18,24,30,0,2,"18/9 = 2\n24/12 = 2\n30/15 = 2",2,"Triangles are similar"
find-scale-factor,5,12,13,15,36,39,0,3,"15/5 = 3\n36/12 = 3\n39/13 = 3",3,"Triangles are similar"
find-scale-factor,3,4,5,12,16,20,0,4,"12/3 = 4\n16/4 = 4\n20/5 = 4",4,"Triangles are similar"
verify-similarity,3,4,5,6,8,10,0,1,"6/3 = 2\n8/4 = 2\n10/5 = 2",2,"Triangles are similar"
verify-similarity,5,12,13,10,24,26,0,1,"10/5 = 2\n24/12 = 2\n26/13 = 2",2,"Triangles are similar"
verify-similarity,6,8,10,9,12,15,0,1,"9/6 = 1.5\n12/8 = 1.5\n15/10 = 1.5",1.5,"Triangles are similar"
verify-similarity,7,24,25,14,48,50,0,1,"14/7 = 2\n48/24 = 2\n50/25 = 2",2,"Triangles are similar"
verify-similarity,8,15,17,16,30,34,0,1,"16/8 = 2\n30/15 = 2\n34/17 = 2",2,"Triangles are similar"
verify-similarity,9,12,15,18,24,30,0,1,"18/9 = 2\n24/12 = 2\n30/15 = 2",2,"Triangles are similar"
verify-similarity,5,12,13,15,36,39,0,1,"15/5 = 3\n36/12 = 3\n39/13 = 3",3,"Triangles are similar"
verify-similarity,3,4,5,12,16,20,0,1,"12/3 = 4\n16/4 = 4\n20/5 = 4",4,"Triangles are similar"
verify-similarity,6,8,10,9,12,20,0,0,"9/6 = 1.5\n12/8 = 1.5\n20/10 = 2",1.5,"Triangles are not similar"
verify-similarity,5,12,13,10,25,26,0,0,"10/5 = 2\n25/12 = 2.083333\n26/13 = 2",2,"Triangles are not similar"
